Query,Title,Abstract,Relevant
few shot learning,Sparse Online Learning via Truncated Gradient,"  We propose a general method called truncated gradient to induce sparsity in
the weights of online learning algorithms with convex loss functions. This
method has several essential properties: The degree of sparsity is continuous
-- a parameter controls the rate of sparsification from no sparsification to
total sparsification. The approach is theoretically motivated, and an instance
of it can be regarded as an online counterpart of the popular
$L_1$-regularization method in the batch setting. We prove that small rates of
sparsification result in only small additional regret with respect to typical
online learning guarantees. The approach works well empirically. We apply the
approach to several datasets and find that for datasets with large numbers of
features, substantial sparsity is discoverable.
",False
few shot learning,Statistical Learning of Arbitrary Computable Classifiers,"  Statistical learning theory chiefly studies restricted hypothesis classes,
particularly those with finite Vapnik-Chervonenkis (VC) dimension. The
fundamental quantity of interest is the sample complexity: the number of
samples required to learn to a specified level of accuracy. Here we consider
learning over the set of all computable labeling functions. Since the
VC-dimension is infinite and a priori (uniform) bounds on the number of samples
are impossible, we let the learning algorithm decide when it has seen
sufficient samples to have learned. We first show that learning in this setting
is indeed possible, and develop a learning algorithm. We then show, however,
that bounding sample complexity independently of the distribution is
impossible. Notably, this impossibility is entirely due to the requirement that
the learning algorithm be computable, and not due to the statistical nature of
the problem.
",False
object detection,Learning View Generalization Functions,"  Learning object models from views in 3D visual object recognition is usually
formulated either as a function approximation problem of a function describing
the view-manifold of an object, or as that of learning a class-conditional
density. This paper describes an alternative framework for learning in visual
object recognition, that of learning the view-generalization function. Using
the view-generalization function, an observer can perform Bayes-optimal 3D
object recognition given one or more 2D training views directly, without the
need for a separate model acquisition step. The paper shows that view
generalization functions can be computationally practical by restating two
widely-used methods, the eigenspace and linear combination of views approaches,
in a view generalization framework. The paper relates the approach to recent
methods for object recognition based on non-uniform blurring. The paper
presents results both on simulated 3D ``paperclip'' objects and real-world
images from the COIL-100 database showing that useful view-generalization
functions can be realistically be learned from a comparatively small number of
training examples.
",False
image classification,Human expert fusion for image classification,"  In image classification, merging the opinion of several human experts is very
important for different tasks such as the evaluation or the training. Indeed,
the ground truth is rarely known before the scene imaging. We propose here
different models in order to fuse the informations given by two or more
experts. The considered unit for the classification, a small tile of the image,
can contain one or more kind of the considered classes given by the experts. A
second problem that we have to take into account, is the amount of certainty of
the expert has for each pixel of the tile. In order to solve these problems we
define five models in the context of the Dempster-Shafer Theory and in the
context of the Dezert-Smarandache Theory and we study the possible decisions
with these models.
",False
self supervised learning,A Unified Semi-Supervised Dimensionality Reduction Framework for Manifold Learning,"  We present a general framework of semi-supervised dimensionality reduction
for manifold learning which naturally generalizes existing supervised and
unsupervised learning frameworks which apply the spectral decomposition.
Algorithms derived under our framework are able to employ both labeled and
unlabeled examples and are able to handle complex problems where data form
separate clusters of manifolds. Our framework offers simple views, explains
relationships among existing frameworks and provides further extensions which
can improve existing algorithms. Furthermore, a new semi-supervised
kernelization framework called ``KPCA trick'' is proposed to handle non-linear
problems.
",False
self supervised learning,Learning Probabilistic Models of Word Sense Disambiguation,"  This dissertation presents several new methods of supervised and unsupervised
learning of word sense disambiguation models. The supervised methods focus on
performing model searches through a space of probabilistic models, and the
unsupervised methods rely on the use of Gibbs Sampling and the Expectation
Maximization (EM) algorithm. In both the supervised and unsupervised case, the
Naive Bayesian model is found to perform well. An explanation for this success
is presented in terms of learning rates and bias-variance decompositions.
",False
self supervised learning,Supervised Feature Selection via Dependence Estimation,"  We introduce a framework for filtering features that employs the
Hilbert-Schmidt Independence Criterion (HSIC) as a measure of dependence
between the features and the labels. The key idea is that good features should
maximise such dependence. Feature selection for various supervised learning
problems (including classification and regression) is unified under this
framework, and the solutions can be approximated using a backward-elimination
algorithm. We demonstrate the usefulness of our method on both artificial and
real world datasets.
",False
self supervised learning,On Kernelization of Supervised Mahalanobis Distance Learners,"  This paper focuses on the problem of kernelizing an existing supervised
Mahalanobis distance learner. The following features are included in the paper.
Firstly, three popular learners, namely, ""neighborhood component analysis"",
""large margin nearest neighbors"" and ""discriminant neighborhood embedding"",
which do not have kernel versions are kernelized in order to improve their
classification performances. Secondly, an alternative kernelization framework
called ""KPCA trick"" is presented. Implementing a learner in the new framework
gains several advantages over the standard framework, e.g. no mathematical
formulas and no reprogramming are required for a kernel implementation, the
framework avoids troublesome problems such as singularity, etc. Thirdly, while
the truths of representer theorems are just assumptions in previous papers
related to ours, here, representer theorems are formally proven. The proofs
validate both the kernel trick and the KPCA trick in the context of Mahalanobis
distance learning. Fourthly, unlike previous works which always apply brute
force methods to select a kernel, we investigate two approaches which can be
efficiently adopted to construct an appropriate kernel for a given dataset.
Finally, numerical results on various real-world datasets are presented.
",False
self supervised learning,Multi-Instance Learning by Treating Instances As Non-I.I.D. Samples,"  Multi-instance learning attempts to learn from a training set consisting of
labeled bags each containing many unlabeled instances. Previous studies
typically treat the instances in the bags as independently and identically
distributed. However, the instances in a bag are rarely independent, and
therefore a better performance can be expected if the instances are treated in
an non-i.i.d. way that exploits the relations among instances. In this paper,
we propose a simple yet effective multi-instance learning method, which regards
each bag as a graph and uses a specific kernel to distinguish the graphs by
considering the features of the nodes as well as the features of the edges that
convey some relations among instances. The effectiveness of the proposed method
is validated by experiments.
",False
knowledge graphs,Evaluation and exploitation of knowledge robustness in knowledge-based systems,"  Industrial knowledge is complex, difficult to formalize and very dynamic in
reason of the continuous development of techniques and technologies. The
verification of the validity of the knowledge base at the time of its
elaboration is not sufficient. To be exploitable, this knowledge must then be
able to be used under conditions (slightly) different from the conditions in
which it was formalized. So, it becomes vital for the company to permanently
evaluate the quality of the industrial knowledge implemented in the system.
This evaluation is founded on the concept of robustness of the knowledge
formalized by conceptual graphs. The evaluation method is supported by a
computerized tool.
",False
knowledge graphs,Graph Algorithms for Improving Type-Logical Proof Search,"  Proof nets are a graph theoretical representation of proofs in various
fragments of type-logical grammar. In spite of this basis in graph theory,
there has been relatively little attention to the use of graph theoretic
algorithms for type-logical proof search. In this paper we will look at several
ways in which standard graph theoretic algorithms can be used to restrict the
search space. In particular, we will provide an O(n4) algorithm for selecting
an optimal axiom link at any stage in the proof search as well as a O(kn3)
algorithm for selecting the k best proof candidates.
",False
knowledge graphs,Knowledge bases over algebraic models. Some notes about informational equivalence,"  The recent advances in knowledge base research and the growing importance of
effective knowledge management raised an important question of knowledge base
equivalence verification. This problem has not been stated earlier, at least in
a way that allows speaking about algorithms for verification of informational
equivalence, because the informal definition of knowledge bases makes formal
solution of this problem impossible. In this paper we provide an implementable
formal algorithm for knowledge base equivalence verification based on the
formal definition of knowledge base proposed by Plotkin B. and Plotkin T., and
study some important properties of automorphic equivalence of models. We also
describe the concept of equivalence and formulate the criterion for the
equivalence of knowledge bases defined over finite models. Further we define
multi-models and automorphic equivalence of models and multi-models, that is
generalization of automorphic equivalence of algebras.
",False
knowledge graphs,Knowledge Technologies,"  Several technologies are emerging that provide new ways to capture, store,
present and use knowledge. This book is the first to provide a comprehensive
introduction to five of the most important of these technologies: Knowledge
Engineering, Knowledge Based Engineering, Knowledge Webs, Ontologies and
Semantic Webs. For each of these, answers are given to a number of key
questions (What is it? How does it operate? How is a system developed? What can
it be used for? What tools are available? What are the main issues?). The book
is aimed at students, researchers and practitioners interested in Knowledge
Management, Artificial Intelligence, Design Engineering and Web Technologies.
  During the 1990s, Nick worked at the University of Nottingham on the
application of AI techniques to knowledge management and on various knowledge
acquisition projects to develop expert systems for military applications. In
1999, he joined Epistemics where he worked on numerous knowledge projects and
helped establish knowledge management programmes at large organisations in the
engineering, technology and legal sectors. He is author of the book ""Knowledge
Acquisition in Practice"", which describes a step-by-step procedure for
acquiring and implementing expertise. He maintains strong links with leading
research organisations working on knowledge technologies, such as
knowledge-based engineering, ontologies and semantic technologies.
",False
knowledge graphs,Exposing Multi-Relational Networks to Single-Relational Network Analysis Algorithms,"  Many, if not most network analysis algorithms have been designed specifically
for single-relational networks; that is, networks in which all edges are of the
same type. For example, edges may either represent ""friendship,"" ""kinship,"" or
""collaboration,"" but not all of them together. In contrast, a multi-relational
network is a network with a heterogeneous set of edge labels which can
represent relationships of various types in a single data structure. While
multi-relational networks are more expressive in terms of the variety of
relationships they can capture, there is a need for a general framework for
transferring the many single-relational network analysis algorithms to the
multi-relational domain. It is not sufficient to execute a single-relational
network analysis algorithm on a multi-relational network by simply ignoring
edge labels. This article presents an algebra for mapping multi-relational
networks to single-relational networks, thereby exposing them to
single-relational network analysis algorithms.
",False
recommendation systems,Recommendation model based on opinion diffusion,"  Information overload in the modern society calls for highly efficient
recommendation algorithms. In this letter we present a novel diffusion based
recommendation model, with users' ratings built into a transition matrix. To
speed up computation we introduce a Green function method. The numerical tests
on a benchmark database show that our prediction is superior to the standard
recommendation methods.
",False
recommendation systems,Movie Recommendation Systems Using An Artificial Immune System,"  We apply the Artificial Immune System (AIS) technology to the Collaborative
Filtering (CF) technology when we build the movie recommendation system. Two
different affinity measure algorithms of AIS, Kendall tau and Weighted Kappa,
are used to calculate the correlation coefficients for this movie
recommendation system. From the testing we think that Weighted Kappa is more
suitable than Kendall tau for movie problems.
",False
recommendation systems,When are recommender systems useful?,"  Recommender systems are crucial tools to overcome the information overload
brought about by the Internet. Rigorous tests are needed to establish to what
extent sophisticated methods can improve the quality of the predictions. Here
we analyse a refined correlation-based collaborative filtering algorithm and
compare it with a novel spectral method for recommending. We test them on two
databases that bear different statistical properties (MovieLens and Jester)
without filtering out the less active users and ordering the opinions in time,
whenever possible. We find that, when the distribution of user-user
correlations is narrow, simple averages work nearly as well as advanced
methods. Recommender systems can, on the other hand, exploit a great deal of
additional information in systems where external influence is negligible and
peoples' tastes emerge entirely. These findings are validated by simulations
with artificially generated data.
",False
recommendation systems,On Affinity Measures for Artificial Immune System Movie Recommenders,"  We combine Artificial Immune Systems 'AIS', technology with Collaborative
Filtering 'CF' and use it to build a movie recommendation system. We already
know that Artificial Immune Systems work well as movie recommenders from
previous work by Cayzer and Aickelin 3, 4, 5. Here our aim is to investigate
the effect of different affinity measure algorithms for the AIS. Two different
affinity measures, Kendalls Tau and Weighted Kappa, are used to calculate the
correlation coefficients for the movie recommender. We compare the results with
those published previously and show that Weighted Kappa is more suitable than
others for movie problems. We also show that AIS are generally robust movie
recommenders and that, as long as a suitable affinity measure is chosen,
results are good.
",False
recommendation systems,Solving the apparent diversity-accuracy dilemma of recommender systems,"  Recommender systems use data on past user preferences to predict possible
future likes and interests. A key challenge is that while the most useful
individual recommendations are to be found among diverse niche objects, the
most reliably accurate results are obtained by methods that recommend objects
based on user or object similarity. In this paper we introduce a new algorithm
specifically to address the challenge of diversity and show how it can be used
to resolve this apparent dilemma when combined in an elegant hybrid with an
accuracy-focused algorithm. By tuning the hybrid appropriately we are able to
obtain, without relying on any semantic or context-specific information,
simultaneous gains in both accuracy and diversity of recommendations.
",False
information retrieval,On the fractal nature of mutual relevance sequences in the Internet news message flows,"  In the task of information retrieval the term relevance is taken to mean
formal conformity of a document given by the retrieval system to user's
information query. As a rule, the documents found by the retrieval system
should be submitted to the user in a certain order. Therefore, a retrieval
perceived as a selection of documents formally solving the user's query, should
be supplemented with a certain procedure of processing a relevant set. It would
be natural to introduce a quantitative measure of document conformity to query,
i.e. the relevance measure. Since no single rule exists for the determination
of the relevance measure, we shall consider two of them which are the simplest
in our opinion. The proposed approach does not suppose any restrictions and can
be applied to other relevance measures.
",False
retrieval augmented generation,Comparing and Combining Methods for Automatic Query Expansion,"  Query expansion is a well known method to improve the performance of
information retrieval systems. In this work we have tested different approaches
to extract the candidate query terms from the top ranked documents returned by
the first-pass retrieval.
  One of them is the cooccurrence approach, based on measures of cooccurrence
of the candidate and the query terms in the retrieved documents. The other one,
the probabilistic approach, is based on the probability distribution of terms
in the collection and in the top ranked set.
  We compare the retrieval improvement achieved by expanding the query with
terms obtained with different methods belonging to both approaches. Besides, we
have developed a na\""ive combination of both kinds of method, with which we
have obtained results that improve those obtained with any of them separately.
This result confirms that the information provided by each approach is of a
different nature and, therefore, can be used in a combined manner.
",False
information retrieval,Contextual Information Retrieval based on Algorithmic Information Theory and Statistical Outlier Detection,"  The main contribution of this paper is to design an Information Retrieval
(IR) technique based on Algorithmic Information Theory (using the Normalized
Compression Distance- NCD), statistical techniques (outliers), and novel
organization of data base structure. The paper shows how they can be integrated
to retrieve information from generic databases using long (text-based) queries.
Two important problems are analyzed in the paper. On the one hand, how to
detect ""false positives"" when the distance among the documents is very low and
there is actual similarity. On the other hand, we propose a way to structure a
document database which similarities distance estimation depends on the length
of the selected text. Finally, the experimental evaluations that have been
carried out to study previous problems are shown.
",False
information retrieval,Interpr\'etation vague des contraintes structurelles pour la RI dans des corpus de documents XML - \'Evaluation d'une m\'ethode approch\'ee de RI structur\'ee,"  We propose specific data structures designed to the indexing and retrieval of
information elements in heterogeneous XML data bases. The indexing scheme is
well suited to the management of various contextual searches, expressed either
at a structural level or at an information content level. The approximate
search mechanisms are based on a modified Levenshtein editing distance and
information fusion heuristics. The implementation described highlights the
mixing of structured information presented as field/value instances and free
text elements. The retrieval performances of the proposed approach are
evaluated within the INEX 2005 evaluation campaign. The evaluation results rank
the proposed approach among the best evaluated XML IR systems for the VVCAS
task.
",False
retrieval augmented generation,Approximate textual retrieval,"  An approximate textual retrieval algorithm for searching sources with high
levels of defects is presented. It considers splitting the words in a query
into two overlapping segments and subsequently building composite regular
expressions from interlacing subsets of the segments. This procedure reduces
the probability of missed occurrences due to source defects, yet diminishes the
retrieval of irrelevant, non-contextual occurrences.
",False
search engines,The Anatomy of Mitos Web Search Engine,"  Engineering a Web search engine offering effective and efficient information
retrieval is a challenging task. This document presents our experiences from
designing and developing a Web search engine offering a wide spectrum of
functionalities and we report some interesting experimental results. A rather
peculiar design choice of the engine is that its index is based on a DBMS,
while some of the distinctive functionalities that are offered include advanced
Greek language stemming, real time result clustering, and advanced link
analysis techniques (also for spam page detection).
",False
search engines,An exploratory study of Google Scholar,"  The paper discusses and analyzes the scientific search service Google Scholar
(GS). The focus is on an exploratory study which investigates the coverage of
scientific serials in GS. The study shows deficiencies in the coverage and
up-to-dateness of the GS index. Furthermore, the study points up which Web
servers are the most important data providers for this search service and which
information sources are highly represented. We can show that there is a
relatively large gap in Google Scholars coverage of German literature as well
as weaknesses in the accessibility of Open Access content.
  Keywords: Search engines, Digital libraries, Worldwide Web, Serials,
Electronic journals
",False
search engines,Logic Engines as Interactors,"  We introduce a new programming language construct, Interactors, supporting
the agent-oriented view that programming is a dialog between simple,
self-contained, autonomous building blocks.
  We define Interactors as an abstraction of answer generation and refinement
in Logic Engines resulting in expressive language extension and metaprogramming
patterns, including emulation of Prolog's dynamic database.
  A mapping between backtracking based answer generation in the callee and
""forward"" recursion in the caller enables interaction between different
branches of the callee's search process and provides simplified design patterns
for algorithms involving combinatorial generation and infinite answer streams.
  Interactors extend language constructs like Ruby, Python and C#'s multiple
coroutining block returns through yield statements and they can emulate the
action of monadic constructs and catamorphisms in functional languages.
  Keywords: generalized iterators, logic engines, agent oriented programming
language constructs, interoperation with stateful objects, metaprogramming
",False
search engines,Spam: It's Not Just for Inboxes and Search Engines! Making Hirsch h-index Robust to Scientospam,"  What is the 'level of excellence' of a scientist and the real impact of
his/her work upon the scientific thinking and practising? How can we design a
fair, an unbiased metric -- and most importantly -- a metric robust to
manipulation?
",False
search engines,Algorithmic Methods for Sponsored Search Advertising,"  Modern commercial Internet search engines display advertisements along side
the search results in response to user queries. Such sponsored search relies on
market mechanisms to elicit prices for these advertisements, making use of an
auction among advertisers who bid in order to have their ads shown for specific
keywords. We present an overview of the current systems for such auctions and
also describe the underlying game-theoretic aspects. The game involves three
parties--advertisers, the search engine, and search users--and we present
example research directions that emphasize the role of each. The algorithms for
bidding and pricing in these games use techniques from three mathematical
areas: mechanism design, optimization, and statistical estimation. Finally, we
present some challenges in sponsored search advertising.
",False
document ranking,"Respect My Authority! HITS Without Hyperlinks, Utilizing Cluster-Based Language Models","  We present an approach to improving the precision of an initial document
ranking wherein we utilize cluster information within a graph-based framework.
The main idea is to perform re-ranking based on centrality within bipartite
graphs of documents (on one side) and clusters (on the other side), on the
premise that these are mutually reinforcing entities. Links between entities
are created via consideration of language models induced from them.
  We find that our cluster-document graphs give rise to much better retrieval
performance than previously proposed document-only graphs do. For example,
authority-based re-ranking of documents via a HITS-style cluster-based approach
outperforms a previously-proposed PageRank-inspired algorithm applied to
solely-document graphs. Moreover, we also show that computing authority scores
for clusters constitutes an effective method for identifying clusters
containing a large percentage of relevant documents.
",False
document ranking,Direct Optimization of Ranking Measures,"  Web page ranking and collaborative filtering require the optimization of
sophisticated performance measures. Current Support Vector approaches are
unable to optimize them directly and focus on pairwise comparisons instead. We
present a new approach which allows direct optimization of the relevant loss
functions. This is achieved via structured estimation in Hilbert spaces. It is
most related to Max-Margin-Markov networks optimization of multivariate
performance measures. Key to our approach is that during training the ranking
problem can be viewed as a linear assignment problem, which can be solved by
the Hungarian Marriage algorithm. At test time, a sort operation is sufficient,
as our algorithm assigns a relevance score to every (document, query) pair.
Experiments show that the our algorithm is fast and that it works very well.
",False
document ranking,Entity Ranking in Wikipedia,"  The traditional entity extraction problem lies in the ability of extracting
named entities from plain text using natural language processing techniques and
intensive training from large document collections. Examples of named entities
include organisations, people, locations, or dates. There are many research
activities involving named entities; we are interested in entity ranking in the
field of information retrieval. In this paper, we describe our approach to
identifying and ranking entities from the INEX Wikipedia document collection.
Wikipedia offers a number of interesting features for entity identification and
ranking that we first introduce. We then describe the principles and the
architecture of our entity ranking system, and introduce our methodology for
evaluation. Our preliminary results show that the use of categories and the
link structure of Wikipedia, together with entity examples, can significantly
improve retrieval effectiveness.
",False
semantic search,Reducing semantic complexity in distributed Digital Libraries: treatment of term vagueness and document re-ranking,"  The purpose of the paper is to propose models to reduce the semantic
complexity in heterogeneous DLs. The aim is to introduce value-added services
(treatment of term vagueness and document re-ranking) that gain a certain
quality in DLs if they are combined with heterogeneity components established
in the project ""Competence Center Modeling and Treatment of Semantic
Heterogeneity"". Empirical observations show that freely formulated user terms
and terms from controlled vocabularies are often not the same or match just by
coincidence. Therefore, a value-added service will be developed which rephrases
the natural language searcher terms into suggestions from the controlled
vocabulary, the Search Term Recommender (STR). Two methods, which are derived
from scientometrics and network analysis, will be implemented with the
objective to re-rank result sets by the following structural properties: the
ranking of the results by core journals (so-called Bradfordizing) and ranking
by centrality of authors in co-authorship networks.
",False
document ranking,Use of Wikipedia Categories in Entity Ranking,"  Wikipedia is a useful source of knowledge that has many applications in
language processing and knowledge representation. The Wikipedia category graph
can be compared with the class hierarchy in an ontology; it has some
characteristics in common as well as some differences. In this paper, we
present our approach for answering entity ranking queries from the Wikipedia.
In particular, we explore how to make use of Wikipedia categories to improve
entity ranking effectiveness. Our experiments show that using categories of
example entities works significantly better than using loosely defined target
categories.
",False
semantic search,Building a terminology network for search: the KoMoHe project,"  The paper reports about results on the GESIS-IZ project ""Competence Center
Modeling and Treatment of Semantic Heterogeneity"" (KoMoHe). KoMoHe supervised a
terminology mapping effort, in which 'cross-concordances' between major
controlled vocabularies were organized, created and managed. In this paper we
describe the establishment and implementation of cross-concordances for search
in a digital library (DL).
",False
semantic search,Modeling Computations in a Semantic Network,"  Semantic network research has seen a resurgence from its early history in the
cognitive sciences with the inception of the Semantic Web initiative. The
Semantic Web effort has brought forth an array of technologies that support the
encoding, storage, and querying of the semantic network data structure at the
world stage. Currently, the popular conception of the Semantic Web is that of a
data modeling medium where real and conceptual entities are related in
semantically meaningful ways. However, new models have emerged that explicitly
encode procedural information within the semantic network substrate. With these
new technologies, the Semantic Web has evolved from a data modeling medium to a
computational medium. This article provides a classification of existing
computational modeling efforts and the requirements of supporting technologies
that will aid in the further growth of this burgeoning domain.
",False
semantic search,Optimizing Queries in a Logic-based Information Integration System,"  The SINTAGMA information integration system is an infrastructure for
accessing several different information sources together. Besides providing a
uniform interface to the information sources (databases, web services, web
sites, RDF resources, XML files), semantic integration is also needed. Semantic
integration is carried out by providing a high-level model and the mappings to
the models of the sources. When executing a query of the high level model, a
query is transformed to a low-level query plan, which is a piece of Prolog code
that answers the high-level query. This transformation is done in two phases.
First, the Query Planner produces a plan as a logic formula expressing the
low-level query. Next, the Query Optimizer transforms this formula to
executable Prolog code and optimizes it according to structural and statistical
information about the information sources.
  This article discusses the main ideas of the optimization algorithm and its
implementation.
",False
question answering,Practical Approach to Knowledge-based Question Answering with Natural Language Understanding and Advanced Reasoning,"  This research hypothesized that a practical approach in the form of a
solution framework known as Natural Language Understanding and Reasoning for
Intelligence (NaLURI), which combines full-discourse natural language
understanding, powerful representation formalism capable of exploiting
ontological information and reasoning approach with advanced features, will
solve the following problems without compromising practicality factors: 1)
restriction on the nature of question and response, and 2) limitation to scale
across domains and to real-life natural language text.
",False
question answering,Interpolation in Valiant's theory,"  We investigate the following question: if a polynomial can be evaluated at
rational points by a polynomial-time boolean algorithm, does it have a
polynomial-size arithmetic circuit? We argue that this question is certainly
difficult. Answering it negatively would indeed imply that the constant-free
versions of the algebraic complexity classes VP and VNP defined by Valiant are
different. Answering this question positively would imply a transfer theorem
from boolean to algebraic complexity. Our proof method relies on Lagrange
interpolation and on recent results connecting the (boolean) counting hierarchy
to algebraic complexity classes. As a byproduct we obtain two additional
results: (i) The constant-free, degree-unbounded version of Valiant's
hypothesis that VP and VNP differ implies the degree-bounded version. This
result was previously known to hold for fields of positive characteristic only.
(ii) If exponential sums of easy to compute polynomials can be computed
efficiently, then the same is true of exponential products. We point out an
application of this result to the P=NP problem in the Blum-Shub-Smale model of
computation over the field of complex numbers.
",False
question answering,A Theory for Valiant's Matchcircuits (Extended Abstract),"  The computational function of a matchgate is represented by its character
matrix. In this article, we show that all nonsingular character matrices are
closed under matrix inverse operation, so that for every $k$, the nonsingular
character matrices of $k$-bit matchgates form a group, extending the recent
work of Cai and Choudhary (2006) of the same result for the case of $k=2$, and
that the single and the two-bit matchgates are universal for matchcircuits,
answering a question of Valiant (2002).
",False
question answering,Does intelligence imply contradiction?,"  Contradiction is often seen as a defect of intelligent systems and a
dangerous limitation on efficiency. In this paper we raise the question of
whether, on the contrary, it could be considered a key tool in increasing
intelligence in biological structures. A possible way of answering this
question in a mathematical context is shown, formulating a proposition that
suggests a link between intelligence and contradiction.
  A concrete approach is presented in the well-defined setting of cellular
automata. Here we define the models of ``observer'', ``entity'',
``environment'', ``intelligence'' and ``contradiction''. These definitions,
which roughly correspond to the common meaning of these words, allow us to
deduce a simple but strong result about these concepts in an unbiased,
mathematical manner. Evidence for a real-world counterpart to the demonstrated
formal link between intelligence and contradiction is provided by three
computational experiments.
",False
question answering,The Generation of Textual Entailment with NLML in an Intelligent Dialogue system for Language Learning CSIEC,"  This research report introduces the generation of textual entailment within
the project CSIEC (Computer Simulation in Educational Communication), an
interactive web-based human-computer dialogue system with natural language for
English instruction. The generation of textual entailment (GTE) is critical to
the further improvement of CSIEC project. Up to now we have found few
literatures related with GTE. Simulating the process that a human being learns
English as a foreign language we explore our naive approach to tackle the GTE
problem and its algorithm within the framework of CSIEC, i.e. rule annotation
in NLML, pattern recognition (matching), and entailment transformation. The
time and space complexity of our algorithm is tested with some entailment
examples. Further works include the rules annotation based on the English
textbooks and a GUI interface for normal users to edit the entailment rules.
",False
retrieval augmented generation,Augmented Tree-based Routing Protocol for Scalable Ad Hoc Networks,"  In ad hoc networks scalability is a critical requirement if these
technologies have to reach their full potential. Most of the proposed routing
protocols do not operate efficiently with networks of more than a few hundred
nodes. In this paper, we propose an augmented tree-based address space
structure and a hierarchical multi-path routing protocol, referred to as
Augmented Tree-based Routing (ATR), which utilizes such a structure in order to
solve the scalability problem and to gain good resilience against node
failure/mobility and link congestion/instability. Simulation results and
performance comparisons with existing protocols substantiate the effectiveness
of the ATR.
",False
retrieval augmented generation,"On Introspection, Metacognitive Control and Augmented Data Mining Live Cycles","  We discuss metacognitive modelling as an enhancement to cognitive modelling
and computing. Metacognitive control mechanisms should enable AI systems to
self-reflect, reason about their actions, and to adapt to new situations. In
this respect, we propose implementation details of a knowledge taxonomy and an
augmented data mining life cycle which supports a live integration of obtained
models.
",False
retrieval augmented generation,CLAIRLIB Documentation v1.03,"  The Clair library is intended to simplify a number of generic tasks in
Natural Language Processing (NLP), Information Retrieval (IR), and Network
Analysis. Its architecture also allows for external software to be plugged in
with very little effort. Functionality native to Clairlib includes
Tokenization, Summarization, LexRank, Biased LexRank, Document Clustering,
Document Indexing, PageRank, Biased PageRank, Web Graph Analysis, Network
Generation, Power Law Distribution Analysis, Network Analysis (clustering
coefficient, degree distribution plotting, average shortest path, diameter,
triangles, shortest path matrices, connected components), Cosine Similarity,
Random Walks on Graphs, Statistics (distributions, tests), Tf, Idf, Community
Finding.
",False
quantum algorithms,Prospective Algorithms for Quantum Evolutionary Computation,"  This effort examines the intersection of the emerging field of quantum
computing and the more established field of evolutionary computation. The goal
is to understand what benefits quantum computing might offer to computational
intelligence and how computational intelligence paradigms might be implemented
as quantum programs to be run on a future quantum computer. We critically
examine proposed algorithms and methods for implementing computational
intelligence paradigms, primarily focused on heuristic optimization methods
including and related to evolutionary computation, with particular regard for
their potential for eventual implementation on quantum computing hardware.
",False
quantum computing,"A Survey of Quantum Programming Languages: History, Methods, and Tools","  Quantum computer programming is emerging as a new subject domain from
multidisciplinary research in quantum computing, computer science, mathematics
(especially quantum logic, lambda calculi, and linear logic), and engineering
attempts to build the first non-trivial quantum computer. This paper briefly
surveys the history, methods, and proposed tools for programming quantum
computers circa late 2007. It is intended to provide an extensive but
non-exhaustive look at work leading up to the current state-of-the-art in
quantum computer programming. Further, it is an attempt to analyze the needed
programming tools for quantum programmers, to use this analysis to predict the
direction in which the field is moving, and to make recommendations for further
development of quantum programming language tools.
",False
quantum algorithms,Grover search algorithm,"  A quantum algorithm is a set of instructions for a quantum computer, however,
unlike algorithms in classical computer science their results cannot be
guaranteed. A quantum system can undergo two types of operation, measurement
and quantum state transformation, operations themselves must be unitary
(reversible). Most quantum algorithms involve a series of quantum state
transformations followed by a measurement. Currently very few quantum
algorithms are known and no general design methodology exists for their
construction.
",False
quantum computing,Checking Equivalence of Quantum Circuits and States,"  Quantum computing promises exponential speed-ups for important simulation and
optimization problems. It also poses new CAD problems that are similar to, but
more challenging, than the related problems in classical (non-quantum) CAD,
such as determining if two states or circuits are functionally equivalent.
While differences in classical states are easy to detect, quantum states, which
are represented by complex-valued vectors, exhibit subtle differences leading
to several notions of equivalence. This provides flexibility in optimizing
quantum circuits, but leads to difficult new equivalence-checking issues for
simulation and synthesis. We identify several different equivalence-checking
problems and present algorithms for practical benchmarks, including quantum
communication and search circuits, which are shown to be very fast and robust
for hundreds of qubits.
",False
quantum algorithms,Quantum Algorithms for Learning and Testing Juntas,"  In this article we develop quantum algorithms for learning and testing
juntas, i.e. Boolean functions which depend only on an unknown set of k out of
n input variables. Our aim is to develop efficient algorithms:
  - whose sample complexity has no dependence on n, the dimension of the domain
the Boolean functions are defined over;
  - with no access to any classical or quantum membership (""black-box"")
queries. Instead, our algorithms use only classical examples generated
uniformly at random and fixed quantum superpositions of such classical
examples;
  - which require only a few quantum examples but possibly many classical
random examples (which are considered quite ""cheap"" relative to quantum
examples).
  Our quantum algorithms are based on a subroutine FS which enables sampling
according to the Fourier spectrum of f; the FS subroutine was used in earlier
work of Bshouty and Jackson on quantum learning. Our results are as follows:
  - We give an algorithm for testing k-juntas to accuracy $\epsilon$ that uses
$O(k/\epsilon)$ quantum examples. This improves on the number of examples used
by the best known classical algorithm.
  - We establish the following lower bound: any FS-based k-junta testing
algorithm requires $\Omega(\sqrt{k})$ queries.
  - We give an algorithm for learning $k$-juntas to accuracy $\epsilon$ that
uses $O(\epsilon^{-1} k\log k)$ quantum examples and $O(2^k \log(1/\epsilon))$
random examples. We show that this learning algorithms is close to optimal by
giving a related lower bound.
",False
